City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
189,‘Ewa Beach,20,US,1665538697,77,21.3156,-158.0072,84.15,6.91
190,Yaan,100,NG,1665538915,93,7.3833,8.5667,73.9,3.74
191,Taltal,0,CL,1665538916,66,-25.4,-70.4833,60.01,4.68
192,Mattawa,0,US,1665538916,43,46.7379,-119.9028,74.01,21.0
193,Kishtwār,3,IN,1665538916,68,33.3167,75.7667,54.54,3.71
194,Ribeira Grande,58,PT,1665538916,88,38.5167,-28.7,70.77,1.99
195,West Bay,20,KY,1665538916,81,19.3667,-81.4167,84.27,6.91
196,Erenhot,100,CN,1665538916,17,43.6475,111.9767,52.21,13.04
197,Zharkent,0,KZ,1665538917,26,44.1628,80.0,50.88,3.62
198,Killam,49,CA,1665538917,46,52.7834,-111.8518,48.15,16.11
199,Pringsewu,100,ID,1665538917,73,-5.3582,104.9744,82.09,4.0
200,Mwene-Ditu,94,CD,1665538917,77,-7.0,23.45,68.77,3.27
201,Nouakchott,16,MR,1665538888,81,18.0858,-15.9785,78.73,8.46
202,Sitka,100,US,1665538917,82,57.0531,-135.33,51.69,5.75
203,Novobiryusinskiy,100,RU,1665538917,85,56.9578,97.7076,41.09,9.26
204,Yellowknife,100,CA,1665538918,75,62.456,-114.3525,34.32,19.57
205,Badarpur,99,IN,1665538918,98,24.9,92.6,74.28,2.15
206,Richards Bay,94,ZA,1665538918,83,-28.783,32.0377,71.8,9.53
207,Wuwei,79,CN,1665538836,23,37.9281,102.6414,53.35,2.91
208,Brewster,0,US,1665538918,86,41.3973,-73.6171,59.92,0.0
209,Lüderitz,92,NA,1665538814,63,-26.6481,15.1594,64.4,12.57
210,Ambovombe,0,MG,1665538919,83,-25.1667,46.0833,65.86,5.37
211,Necochea,73,AR,1665538647,45,-38.5473,-58.7368,53.17,12.44
212,Mar del Plata,0,AR,1665538734,71,-38.0023,-57.5575,53.62,8.05
213,Corpus Christi,20,US,1665538920,75,27.8006,-97.3964,82.49,11.5
214,Qaqortoq,100,GL,1665538920,77,60.7167,-46.0333,28.0,7.47
215,Mayo,0,US,1665538920,81,38.8876,-76.5119,62.55,5.75
216,Pacov,100,CZ,1665538920,92,49.4708,15.0017,48.74,2.26
217,La Rioja,13,ES,1665538921,95,42.25,-2.5,51.58,3.76
218,Srednekolymsk,28,RU,1665538655,61,67.45,153.6833,23.05,4.72
219,Agadir,0,MA,1665538733,82,30.4202,-9.5982,64.85,7.56
220,Rexburg,0,US,1665538921,20,43.826,-111.7897,64.38,4.61
221,Marsh Harbour,100,BS,1665538922,75,26.5412,-77.0636,82.33,14.36
222,Khovd,31,MN,1665538922,32,48.0056,91.6419,40.93,4.0
223,Bamnet Narong,44,TH,1665538922,70,15.4992,101.6897,76.23,11.03
224,Bathsheba,20,BB,1665538922,89,13.2167,-59.5167,81.21,11.5
225,Zhigansk,100,RU,1665538922,91,66.7697,123.3711,25.18,17.31
226,Assiut,0,EG,1665538922,55,27.181,31.1837,70.41,8.39
